,Survived,Pclass,Age,SibSp,Parch,Fare,Port,Gender
0,0,3,22.0,1,0,7.25,3,1
1,1,1,38.0,1,0,71.2833,1,0
2,1,3,26.0,0,0,7.925,3,0
3,1,1,35.0,1,0,53.1,3,0
4,0,3,35.0,0,0,8.05,3,1
5,0,3,30.62617924528302,0,0,8.4583,2,1
6,0,1,54.0,0,0,51.8625,3,1
7,0,3,2.0,3,1,21.075,3,1
8,1,3,27.0,0,2,11.1333,3,0
9,1,2,14.0,1,0,30.0708,1,0
10,1,3,4.0,1,1,16.7,3,0
11,1,1,58.0,0,0,26.55,3,0
12,0,3,20.0,0,0,8.05,3,1
13,0,3,39.0,1,5,31.275,3,1
14,0,3,14.0,0,0,7.8542,3,0
15,1,2,55.0,0,0,16.0,3,0
16,0,3,2.0,4,1,29.125,2,1
17,1,2,28.343689655172415,0,0,13.0,3,1
18,0,3,31.0,1,0,18.0,3,0
19,1,3,28.343689655172415,0,0,7.225,1,0
20,0,2,35.0,0,0,26.0,3,1
21,1,2,34.0,0,0,13.0,3,1
22,1,3,15.0,0,0,8.0292,2,0
23,1,1,28.0,0,0,35.5,3,1
24,0,3,8.0,3,1,21.075,3,0
25,1,3,38.0,1,5,31.3875,3,0
26,0,3,30.62617924528302,0,0,7.225,1,1
27,0,1,19.0,3,2,263.0,3,1
28,1,3,28.343689655172415,0,0,7.8792,2,0
29,0,3,30.62617924528302,0,0,7.8958,3,1
30,0,1,40.0,0,0,27.7208,1,1
31,1,1,28.343689655172415,1,0,146.5208,1,0
32,1,3,28.343689655172415,0,0,7.75,2,0
33,0,2,66.0,0,0,10.5,3,1
34,0,1,28.0,1,0,82.1708,1,1
35,0,1,42.0,1,0,52.0,3,1
36,1,3,28.343689655172415,0,0,7.2292,1,1
37,0,3,21.0,0,0,8.05,3,1
38,0,3,18.0,2,0,18.0,3,0
39,1,3,14.0,1,0,11.2417,1,0
40,0,3,40.0,1,0,9.475,3,0
41,0,2,27.0,1,0,21.0,3,0
42,0,3,30.62617924528302,0,0,7.8958,1,1
43,1,2,3.0,1,2,41.5792,1,0
44,1,3,19.0,0,0,7.8792,2,0
45,0,3,30.62617924528302,0,0,8.05,3,1
46,0,3,30.62617924528302,1,0,15.5,2,1
47,1,3,28.343689655172415,0,0,7.75,2,0
48,0,3,30.62617924528302,2,0,21.6792,1,1
49,0,3,18.0,1,0,17.8,3,0
50,0,3,7.0,4,1,39.6875,3,1
51,0,3,21.0,0,0,7.8,3,1
52,1,1,49.0,1,0,76.7292,1,0
53,1,2,29.0,1,0,26.0,3,0
54,0,1,65.0,0,1,61.9792,1,1
55,1,1,28.343689655172415,0,0,35.5,3,1
56,1,2,21.0,0,0,10.5,3,0
57,0,3,28.5,0,0,7.2292,1,1
58,1,2,5.0,1,2,27.75,3,0
59,0,3,11.0,5,2,46.9,3,1
60,0,3,22.0,0,0,7.2292,1,1
61,1,1,38.0,0,0,80.0,3,0
62,0,1,45.0,1,0,83.475,3,1
63,0,3,4.0,3,2,27.9,3,1
64,0,1,30.62617924528302,0,0,27.7208,1,1
65,1,3,28.343689655172415,1,1,15.2458,1,1
66,1,2,29.0,0,0,10.5,3,0
67,0,3,19.0,0,0,8.1583,3,1
68,1,3,17.0,4,2,7.925,3,0
69,0,3,26.0,2,0,8.6625,3,1
70,0,2,32.0,0,0,10.5,3,1
71,0,3,16.0,5,2,46.9,3,0
72,0,2,21.0,0,0,73.5,3,1
73,0,3,26.0,1,0,14.4542,1,1
74,1,3,32.0,0,0,56.4958,3,1
75,0,3,25.0,0,0,7.65,3,1
76,0,3,30.62617924528302,0,0,7.8958,3,1
77,0,3,30.62617924528302,0,0,8.05,3,1
78,1,2,0.83,0,2,29.0,3,1
79,1,3,30.0,0,0,12.475,3,0
80,0,3,22.0,0,0,9.0,3,1
81,1,3,29.0,0,0,9.5,3,1
82,1,3,28.343689655172415,0,0,7.7875,2,0
83,0,1,28.0,0,0,47.1,3,1
84,1,2,17.0,0,0,10.5,3,0
85,1,3,33.0,3,0,15.85,3,0
86,0,3,16.0,1,3,34.375,3,1
87,0,3,30.62617924528302,0,0,8.05,3,1
88,1,1,23.0,3,2,263.0,3,0
89,0,3,24.0,0,0,8.05,3,1
90,0,3,29.0,0,0,8.05,3,1
91,0,3,20.0,0,0,7.8542,3,1
92,0,1,46.0,1,0,61.175,3,1
93,0,3,26.0,1,2,20.575,3,1
94,0,3,59.0,0,0,7.25,3,1
95,0,3,30.62617924528302,0,0,8.05,3,1
96,0,1,71.0,0,0,34.6542,1,1
97,1,1,23.0,0,1,63.3583,1,1
98,1,2,34.0,0,1,23.0,3,0
99,0,2,34.0,1,0,26.0,3,1
100,0,3,28.0,0,0,7.8958,3,0
101,0,3,30.62617924528302,0,0,7.8958,3,1
102,0,1,21.0,0,1,77.2875,3,1
103,0,3,33.0,0,0,8.6542,3,1
104,0,3,37.0,2,0,7.925,3,1
105,0,3,28.0,0,0,7.8958,3,1
106,1,3,21.0,0,0,7.65,3,0
107,1,3,28.343689655172415,0,0,7.775,3,1
108,0,3,38.0,0,0,7.8958,3,1
109,1,3,28.343689655172415,1,0,24.15,2,0
110,0,1,47.0,0,0,52.0,3,1
111,0,3,14.5,1,0,14.4542,1,0
112,0,3,22.0,0,0,8.05,3,1
113,0,3,20.0,1,0,9.825,3,0
114,0,3,17.0,0,0,14.4583,1,0
115,0,3,21.0,0,0,7.925,3,1
116,0,3,70.5,0,0,7.75,2,1
117,0,2,29.0,1,0,21.0,3,1
118,0,1,24.0,0,1,247.5208,1,1
119,0,3,2.0,4,2,31.275,3,0
120,0,2,21.0,2,0,73.5,3,1
121,0,3,30.62617924528302,0,0,8.05,3,1
122,0,2,32.5,1,0,30.0708,1,1
123,1,2,32.5,0,0,13.0,3,0
124,0,1,54.0,0,1,77.2875,3,1
125,1,3,12.0,1,0,11.2417,1,1
126,0,3,30.62617924528302,0,0,7.75,2,1
127,1,3,24.0,0,0,7.1417,3,1
128,1,3,28.343689655172415,1,1,22.3583,1,0
129,0,3,45.0,0,0,6.975,3,1
130,0,3,33.0,0,0,7.8958,1,1
131,0,3,20.0,0,0,7.05,3,1
132,0,3,47.0,1,0,14.5,3,0
133,1,2,29.0,1,0,26.0,3,0
134,0,2,25.0,0,0,13.0,3,1
135,0,2,23.0,0,0,15.0458,1,1
136,1,1,19.0,0,2,26.2833,3,0
137,0,1,37.0,1,0,53.1,3,1
138,0,3,16.0,0,0,9.2167,3,1
139,0,1,24.0,0,0,79.2,1,1
140,0,3,30.62617924528302,0,2,15.2458,1,0
141,1,3,22.0,0,0,7.75,3,0
142,1,3,24.0,1,0,15.85,3,0
143,0,3,19.0,0,0,6.75,2,1
144,0,2,18.0,0,0,11.5,3,1
145,0,2,19.0,1,1,36.75,3,1
146,1,3,27.0,0,0,7.7958,3,1
147,0,3,9.0,2,2,34.375,3,0
148,0,2,36.5,0,2,26.0,3,1
149,0,2,42.0,0,0,13.0,3,1
150,0,2,51.0,0,0,12.525,3,1
151,1,1,22.0,1,0,66.6,3,0
152,0,3,55.5,0,0,8.05,3,1
153,0,3,40.5,0,2,14.5,3,1
154,0,3,30.62617924528302,0,0,7.3125,3,1
155,0,1,51.0,0,1,61.3792,1,1
156,1,3,16.0,0,0,7.7333,2,0
157,0,3,30.0,0,0,8.05,3,1
158,0,3,30.62617924528302,0,0,8.6625,3,1
159,0,3,30.62617924528302,8,2,69.55,3,1
160,0,3,44.0,0,1,16.1,3,1
161,1,2,40.0,0,0,15.75,3,0
162,0,3,26.0,0,0,7.775,3,1
163,0,3,17.0,0,0,8.6625,3,1
164,0,3,1.0,4,1,39.6875,3,1
165,1,3,9.0,0,2,20.525,3,1
166,1,1,28.343689655172415,0,1,55.0,3,0
167,0,3,45.0,1,4,27.9,3,0
168,0,1,30.62617924528302,0,0,25.925,3,1
169,0,3,28.0,0,0,56.4958,3,1
170,0,1,61.0,0,0,33.5,3,1
171,0,3,4.0,4,1,29.125,2,1
172,1,3,1.0,1,1,11.1333,3,0
173,0,3,21.0,0,0,7.925,3,1
174,0,1,56.0,0,0,30.6958,1,1
175,0,3,18.0,1,1,7.8542,3,1
176,0,3,30.62617924528302,3,1,25.4667,3,1
177,0,1,50.0,0,0,28.7125,1,0
178,0,2,30.0,0,0,13.0,3,1
179,0,3,36.0,0,0,0.0,3,1
180,0,3,30.62617924528302,8,2,69.55,3,0
181,0,2,30.62617924528302,0,0,15.05,1,1
182,0,3,9.0,4,2,31.3875,3,1
183,1,2,1.0,2,1,39.0,3,1
184,1,3,4.0,0,2,22.025,3,0
185,0,1,30.62617924528302,0,0,50.0,3,1
186,1,3,28.343689655172415,1,0,15.5,2,0
187,1,1,45.0,0,0,26.55,3,1
188,0,3,40.0,1,1,15.5,2,1
189,0,3,36.0,0,0,7.8958,3,1
190,1,2,32.0,0,0,13.0,3,0
191,0,2,19.0,0,0,13.0,3,1
192,1,3,19.0,1,0,7.8542,3,0
193,1,2,3.0,1,1,26.0,3,1
194,1,1,44.0,0,0,27.7208,1,0
195,1,1,58.0,0,0,146.5208,1,0
196,0,3,30.62617924528302,0,0,7.75,2,1
197,0,3,42.0,0,1,8.4042,3,1
198,1,3,28.343689655172415,0,0,7.75,2,0
199,0,2,24.0,0,0,13.0,3,0
200,0,3,28.0,0,0,9.5,3,1
201,0,3,30.62617924528302,8,2,69.55,3,1
202,0,3,34.0,0,0,6.4958,3,1
203,0,3,45.5,0,0,7.225,1,1
204,1,3,18.0,0,0,8.05,3,1
205,0,3,2.0,0,1,10.4625,3,0
206,0,3,32.0,1,0,15.85,3,1
207,1,3,26.0,0,0,18.7875,1,1
208,1,3,16.0,0,0,7.75,2,0
209,1,1,40.0,0,0,31.0,1,1
210,0,3,24.0,0,0,7.05,3,1
211,1,2,35.0,0,0,21.0,3,0
212,0,3,22.0,0,0,7.25,3,1
213,0,2,30.0,0,0,13.0,3,1
214,0,3,30.62617924528302,1,0,7.75,2,1
215,1,1,31.0,1,0,113.275,1,0
216,1,3,27.0,0,0,7.925,3,0
217,0,2,42.0,1,0,27.0,3,1
218,1,1,32.0,0,0,76.2917,1,0
219,0,2,30.0,0,0,10.5,3,1
220,1,3,16.0,0,0,8.05,3,1
221,0,2,27.0,0,0,13.0,3,1
222,0,3,51.0,0,0,8.05,3,1
223,0,3,30.62617924528302,0,0,7.8958,3,1
224,1,1,38.0,1,0,90.0,3,1
225,0,3,22.0,0,0,9.35,3,1
226,1,2,19.0,0,0,10.5,3,1
227,0,3,20.5,0,0,7.25,3,1
228,0,2,18.0,0,0,13.0,3,1
229,0,3,30.62617924528302,3,1,25.4667,3,0
230,1,1,35.0,1,0,83.475,3,0
231,0,3,29.0,0,0,7.775,3,1
232,0,2,59.0,0,0,13.5,3,1
233,1,3,5.0,4,2,31.3875,3,0
234,0,2,24.0,0,0,10.5,3,1
235,0,3,30.62617924528302,0,0,7.55,3,0
236,0,2,44.0,1,0,26.0,3,1
237,1,2,8.0,0,2,26.25,3,0
238,0,2,19.0,0,0,10.5,3,1
239,0,2,33.0,0,0,12.275,3,1
240,0,3,30.62617924528302,1,0,14.4542,1,0
241,1,3,28.343689655172415,1,0,15.5,2,0
242,0,2,29.0,0,0,10.5,3,1
243,0,3,22.0,0,0,7.125,3,1
244,0,3,30.0,0,0,7.225,1,1
245,0,1,44.0,2,0,90.0,2,1
246,0,3,25.0,0,0,7.775,3,0
247,1,2,24.0,0,2,14.5,3,0
248,1,1,37.0,1,1,52.5542,3,1
249,0,2,54.0,1,0,26.0,3,1
250,0,3,30.62617924528302,0,0,7.25,3,1
251,0,3,29.0,1,1,10.4625,3,0
252,0,1,62.0,0,0,26.55,3,1
253,0,3,30.0,1,0,16.1,3,1
254,0,3,41.0,0,2,20.2125,3,0
255,1,3,29.0,0,2,15.2458,1,0
256,1,1,28.343689655172415,0,0,79.2,1,0
257,1,1,30.0,0,0,86.5,3,0
258,1,1,35.0,0,0,512.3292,1,0
259,1,2,50.0,0,1,26.0,3,0
260,0,3,30.62617924528302,0,0,7.75,2,1
261,1,3,3.0,4,2,31.3875,3,1
262,0,1,52.0,1,1,79.65,3,1
263,0,1,40.0,0,0,0.0,3,1
264,0,3,30.62617924528302,0,0,7.75,2,0
265,0,2,36.0,0,0,10.5,3,1
266,0,3,16.0,4,1,39.6875,3,1
267,1,3,25.0,1,0,7.775,3,1
268,1,1,58.0,0,1,153.4625,3,0
269,1,1,35.0,0,0,135.6333,3,0
270,0,1,30.62617924528302,0,0,31.0,3,1
271,1,3,25.0,0,0,0.0,3,1
272,1,2,41.0,0,1,19.5,3,0
273,0,1,37.0,0,1,29.7,1,1
274,1,3,28.343689655172415,0,0,7.75,2,0
275,1,1,63.0,1,0,77.9583,3,0
276,0,3,45.0,0,0,7.75,3,0
277,0,2,30.62617924528302,0,0,0.0,3,1
278,0,3,7.0,4,1,29.125,2,1
279,1,3,35.0,1,1,20.25,3,0
280,0,3,65.0,0,0,7.75,2,1
281,0,3,28.0,0,0,7.8542,3,1
282,0,3,16.0,0,0,9.5,3,1
283,1,3,19.0,0,0,8.05,3,1
284,0,1,30.62617924528302,0,0,26.0,3,1
285,0,3,33.0,0,0,8.6625,1,1
286,1,3,30.0,0,0,9.5,3,1
287,0,3,22.0,0,0,7.8958,3,1
288,1,2,42.0,0,0,13.0,3,1
289,1,3,22.0,0,0,7.75,2,0
290,1,1,26.0,0,0,78.85,3,0
291,1,1,19.0,1,0,91.0792,1,0
292,0,2,36.0,0,0,12.875,1,1
293,0,3,24.0,0,0,8.85,3,0
294,0,3,24.0,0,0,7.8958,3,1
295,0,1,30.62617924528302,0,0,27.7208,1,1
296,0,3,23.5,0,0,7.2292,1,1
297,0,1,2.0,1,2,151.55,3,0
298,1,1,28.343689655172415,0,0,30.5,3,1
299,1,1,50.0,0,1,247.5208,1,0
300,1,3,28.343689655172415,0,0,7.75,2,0
301,1,3,28.343689655172415,2,0,23.25,2,1
302,0,3,19.0,0,0,0.0,3,1
303,1,2,28.343689655172415,0,0,12.35,2,0
304,0,3,30.62617924528302,0,0,8.05,3,1
305,1,1,0.92,1,2,151.55,3,1
306,1,1,28.343689655172415,0,0,110.8833,1,0
307,1,1,17.0,1,0,108.9,1,0
308,0,2,30.0,1,0,24.0,1,1
309,1,1,30.0,0,0,56.9292,1,0
310,1,1,24.0,0,0,83.1583,1,0
311,1,1,18.0,2,2,262.375,1,0
312,0,2,26.0,1,1,26.0,3,0
313,0,3,28.0,0,0,7.8958,3,1
314,0,2,43.0,1,1,26.25,3,1
315,1,3,26.0,0,0,7.8542,3,0
316,1,2,24.0,1,0,26.0,3,0
317,0,2,54.0,0,0,14.0,3,1
318,1,1,31.0,0,2,164.8667,3,0
319,1,1,40.0,1,1,134.5,1,0
320,0,3,22.0,0,0,7.25,3,1
321,0,3,27.0,0,0,7.8958,3,1
322,1,2,30.0,0,0,12.35,2,0
323,1,2,22.0,1,1,29.0,3,0
324,0,3,30.62617924528302,8,2,69.55,3,1
325,1,1,36.0,0,0,135.6333,1,0
326,0,3,61.0,0,0,6.2375,3,1
327,1,2,36.0,0,0,13.0,3,0
328,1,3,31.0,1,1,20.525,3,0
329,1,1,16.0,0,1,57.9792,1,0
330,1,3,28.343689655172415,2,0,23.25,2,0
331,0,1,45.5,0,0,28.5,3,1
332,0,1,38.0,0,1,153.4625,3,1
333,0,3,16.0,2,0,18.0,3,1
334,1,1,28.343689655172415,1,0,133.65,3,0
335,0,3,30.62617924528302,0,0,7.8958,3,1
336,0,1,29.0,1,0,66.6,3,1
337,1,1,41.0,0,0,134.5,1,0
338,1,3,45.0,0,0,8.05,3,1
339,0,1,45.0,0,0,35.5,3,1
340,1,2,2.0,1,1,26.0,3,1
341,1,1,24.0,3,2,263.0,3,0
342,0,2,28.0,0,0,13.0,3,1
343,0,2,25.0,0,0,13.0,3,1
344,0,2,36.0,0,0,13.0,3,1
345,1,2,24.0,0,0,13.0,3,0
346,1,2,40.0,0,0,13.0,3,0
347,1,3,28.343689655172415,1,0,16.1,3,0
348,1,3,3.0,1,1,15.9,3,1
349,0,3,42.0,0,0,8.6625,3,1
350,0,3,23.0,0,0,9.225,3,1
351,0,1,30.62617924528302,0,0,35.0,3,1
352,0,3,15.0,1,1,7.2292,1,1
353,0,3,25.0,1,0,17.8,3,1
354,0,3,30.62617924528302,0,0,7.225,1,1
355,0,3,28.0,0,0,9.5,3,1
356,1,1,22.0,0,1,55.0,3,0
357,0,2,38.0,0,0,13.0,3,0
358,1,3,28.343689655172415,0,0,7.8792,2,0
359,1,3,28.343689655172415,0,0,7.8792,2,0
360,0,3,40.0,1,4,27.9,3,1
361,0,2,29.0,1,0,27.7208,1,1
362,0,3,45.0,0,1,14.4542,1,0
363,0,3,35.0,0,0,7.05,3,1
364,0,3,30.62617924528302,1,0,15.5,2,1
365,0,3,30.0,0,0,7.25,3,1
366,1,1,60.0,1,0,75.25,1,0
367,1,3,28.343689655172415,0,0,7.2292,1,0
368,1,3,28.343689655172415,0,0,7.75,2,0
369,1,1,24.0,0,0,69.3,1,0
370,1,1,25.0,1,0,55.4417,1,1
371,0,3,18.0,1,0,6.4958,3,1
372,0,3,19.0,0,0,8.05,3,1
373,0,1,22.0,0,0,135.6333,1,1
374,0,3,3.0,3,1,21.075,3,0
375,1,1,28.343689655172415,1,0,82.1708,1,0
376,1,3,22.0,0,0,7.25,3,0
377,0,1,27.0,0,2,211.5,1,1
378,0,3,20.0,0,0,4.0125,1,1
379,0,3,19.0,0,0,7.775,3,1
380,1,1,42.0,0,0,227.525,1,0
381,1,3,1.0,0,2,15.7417,1,0
382,0,3,32.0,0,0,7.925,3,1
383,1,1,35.0,1,0,52.0,3,0
384,0,3,30.62617924528302,0,0,7.8958,3,1
385,0,2,18.0,0,0,73.5,3,1
386,0,3,1.0,5,2,46.9,3,1
387,1,2,36.0,0,0,13.0,3,0
388,0,3,30.62617924528302,0,0,7.7292,2,1
389,1,2,17.0,0,0,12.0,1,0
390,1,1,36.0,1,2,120.0,3,1
391,1,3,21.0,0,0,7.7958,3,1
392,0,3,28.0,2,0,7.925,3,1
393,1,1,23.0,1,0,113.275,1,0
394,1,3,24.0,0,2,16.7,3,0
395,0,3,22.0,0,0,7.7958,3,1
396,0,3,31.0,0,0,7.8542,3,0
397,0,2,46.0,0,0,26.0,3,1
398,0,2,23.0,0,0,10.5,3,1
399,1,2,28.0,0,0,12.65,3,0
400,1,3,39.0,0,0,7.925,3,1
401,0,3,26.0,0,0,8.05,3,1
402,0,3,21.0,1,0,9.825,3,0
403,0,3,28.0,1,0,15.85,3,1
404,0,3,20.0,0,0,8.6625,3,0
405,0,2,34.0,1,0,21.0,3,1
406,0,3,51.0,0,0,7.75,3,1
407,1,2,3.0,1,1,18.75,3,1
408,0,3,21.0,0,0,7.775,3,1
409,0,3,30.62617924528302,3,1,25.4667,3,0
410,0,3,30.62617924528302,0,0,7.8958,3,1
411,0,3,30.62617924528302,0,0,6.8583,2,1
412,1,1,33.0,1,0,90.0,2,0
413,0,2,30.62617924528302,0,0,0.0,3,1
414,1,3,44.0,0,0,7.925,3,1
415,0,3,30.62617924528302,0,0,8.05,3,0
416,1,2,34.0,1,1,32.5,3,0
417,1,2,18.0,0,2,13.0,3,0
418,0,2,30.0,0,0,13.0,3,1
419,0,3,10.0,0,2,24.15,3,0
420,0,3,30.62617924528302,0,0,7.8958,1,1
421,0,3,21.0,0,0,7.7333,2,1
422,0,3,29.0,0,0,7.875,3,1
423,0,3,28.0,1,1,14.4,3,0
424,0,3,18.0,1,1,20.2125,3,1
425,0,3,30.62617924528302,0,0,7.25,3,1
426,1,2,28.0,1,0,26.0,3,0
427,1,2,19.0,0,0,26.0,3,0
428,0,3,30.62617924528302,0,0,7.75,2,1
429,1,3,32.0,0,0,8.05,3,1
430,1,1,28.0,0,0,26.55,3,1
431,1,3,28.343689655172415,1,0,16.1,3,0
432,1,2,42.0,1,0,26.0,3,0
433,0,3,17.0,0,0,7.125,3,1
434,0,1,50.0,1,0,55.9,3,1
435,1,1,14.0,1,2,120.0,3,0
436,0,3,21.0,2,2,34.375,3,0
437,1,2,24.0,2,3,18.75,3,0
438,0,1,64.0,1,4,263.0,3,1
439,0,2,31.0,0,0,10.5,3,1
440,1,2,45.0,1,1,26.25,3,0
441,0,3,20.0,0,0,9.5,3,1
442,0,3,25.0,1,0,7.775,3,1
443,1,2,28.0,0,0,13.0,3,0
444,1,3,28.343689655172415,0,0,8.1125,3,1
445,1,1,4.0,0,2,81.8583,3,1
446,1,2,13.0,0,1,19.5,3,0
